referrer_source,referrer_name,location_city,ua_form_factor,location_region,referrer_host,day,total_visitors,total_sessions,total_checkouts,total_carts,total_orders_placed
Social,Facebook,Alpena,Mobile,Michigan,l.facebook.com,2023-07-07,1,1,0,0,0
Social,Instagram,Washington,Mobile,District of Columbia,l.instagram.com,2023-08-18,1,1,0,0,0
Social,Facebook,Cypress,Mobile,Texas,m.facebook.com,2023-08-25,1,1,0,0,0
Social,Instagram,Washington,Mobile,District of Columbia,l.instagram.com,2023-08-07,1,1,0,0,0
Social,Facebook,Show Low,Mobile,Arizona,m.facebook.com,2023-08-30,1,1,0,0,0
Social,Facebook,Indianapolis,Mobile,Indiana,m.facebook.com,2023-09-27,1,1,0,0,0
Social,Facebook,Revere,Mobile,Massachusetts,m.facebook.com,2023-09-01,1,1,0,0,0
Social,Instagram,Washington,Mobile,District of Columbia,www.instagram.com,2023-09-28,1,1,0,0,0
Social,Facebook,Muncie,Mobile,Indiana,m.facebook.com,2023-08-10,1,1,0,0,0
Social,Instagram,Regina,Mobile,Saskatchewan,www.instagram.com,2023-08-17,1,1,0,0,0
Social,Facebook,Butterfield,Mobile,Minnesota,m.facebook.com,2023-08-18,1,1,0,0,0
Social,Instagram,Harlan,Mobile,Iowa,l.instagram.com,2023-08-10,1,1,1,1,0
Social,Facebook,Muskego,Mobile,Wisconsin,l.facebook.com,2023-08-02,1,1,0,0,0
Social,Instagram,Reno,Mobile,Nevada,l.instagram.com,2023-09-27,1,1,0,0,0
Social,Facebook,Toronto,Mobile,Ontario,m.facebook.com,2023-08-02,1,1,0,0,0
Social,Instagram,Phoenix,Mobile,Arizona,l.instagram.com,2023-07-01,1,1,0,0,0
Social,Facebook,Jamestown,Mobile,New York,m.facebook.com,2023-07-29,1,1,0,0,0
Social,Instagram,Phoenix,Mobile,Arizona,l.instagram.com,2023-08-22,1,1,0,0,0
Social,Facebook,Toronto,Mobile,Ontario,l.facebook.com,2023-08-07,1,1,0,0,0
Social,Facebook,Indianapolis,Mobile,Indiana,m.facebook.com,2023-07-10,1,1,0,0,0
Social,Facebook,Peterborough,Mobile,New Hampshire,m.facebook.com,2023-09-04,1,1,0,0,0
Social,Instagram,Phoenix,Mobile,Arizona,l.instagram.com,2023-07-08,1,1,0,0,0
Social,Facebook,San Francisco,Mobile,California,m.facebook.com,2023-08-06,1,1,0,0,0
Social,Facebook,Indianapolis,Mobile,Indiana,m.facebook.com,2023-09-18,1,1,1,1,1
Social,Facebook,New Cumberland,Mobile,Pennsylvania,l.facebook.com,2023-09-19,1,1,0,0,0
Social,Instagram,Phoenix,Mobile,Arizona,www.instagram.com,2023-07-07,1,1,0,0,0
Social,Facebook,East Aurora,Mobile,New York,m.facebook.com,2023-08-30,1,1,0,0,0
